year,species_code,catches_in_tonnes
2007,BET,42951.77697
2007,SKJ,92298.9
2007,YFT,136314.95957
2008,BET,39614.245299999995
2008,SKJ,133644
2008,YFT,143023.44484
2009,BET,45941.86876
2009,SKJ,90814
2009,YFT,229909.62563999998
2010,BET,54698.22221
2010,SKJ,52739
2010,YFT,214939.12888
2011,BET,51921.64708
2011,SKJ,103105
2011,YFT,184716.11572
2012,BET,48590.4377
2012,SKJ,97651
2012,YFT,191113.69468000002
2013,BET,43699.0856963
2013,SKJ,110447
2013,YFT,206893.5151
2014,BET,46182.6802
2014,SKJ,90565
2014,YFT,220338.7952
2015,BET,52262.3566
2015,SKJ,86542.79000000001
2015,YFT,226237.6901
2016,BET,54525.61893
2016,SKJ,79489.7
2016,YFT,206421.3113
2017,BET,52038.895957
2017,SKJ,88052.3
2017,YFT,163492.8912
2018,BET,44359.66499999999
2018,SKJ,81526.2
2018,YFT,186557.2883
2019,BET,40965.382999999994
2019,SKJ,81526.2
2019,YFT,192937.824
2020,BET,40948.933
2020,SKJ,81526.2
2020,YFT,193732.335
2021,BET,40996.225999999995
2021,SKJ,81526.2
2021,YFT,187007.3393
2022,BET,40857.786
2022,SKJ,81526.2
2022,YFT,185618.2449
2023,BET,40753.816
2023,SKJ,81526.2
2023,YFT,185359.1851
2024,BET,40687.361999999994
2024,SKJ,81526.2
2024,YFT,185305.3194
2025,BET,40648.628
2025,SKJ,81526.2
2025,YFT,185293.5809
2026,BET,40627.049999999996
2026,SKJ,81526.2
2026,YFT,185291.0387
2027,BET,40615.407
2027,SKJ,81526.2
2027,YFT,185290.4961
